,districts,total cases,recoveries,deaths,active cases
0,Araria,14955,14832,116,7
1,Arwal,7375,7293,74,8
2,Aurangabad,20007,19932,75,0
3,Banka,7377,7265,112,0
4,Begusarai,27172,26712,457,3
5,Bhagalpur,25823,25502,309,12
6,Bhojpur,10170,10004,159,7
7,Buxar,9247,9065,182,0
8,Darbhanga,10891,10505,366,20
9,East Champaran,18998,18543,430,25
10,Gaya,33931,33647,279,5
11,Gopalganj,16669,16575,94,0
12,Jamui,9408,9298,106,4
13,Jehanabad,10770,10661,109,0
14,Kaimur,4983,4836,147,0
15,Katihar,18117,18010,94,13
16,Khagaria,10051,9959,88,4
17,Kishanganj,10100,10018,66,16
18,Lakhisarai,7766,7658,102,6
19,Madhepura,12516,12395,111,10
20,Madhubani,18329,17988,337,4
21,Munger,15101,14939,158,4
22,Muzaffarpur,31378,30745,621,12
23,Nalanda,23420,22938,468,14
24,Nawada,10342,10162,178,2
25,Patna,146820,144453,2330,37
26,Purnia,24405,24223,180,2
27,Rohtas,13958,13678,269,11
28,Saharsa,17587,17450,134,3
29,Samastipur,19974,19795,154,25
30,Saran,23263,23007,255,1
31,Sheikhpura,7690,7612,75,3
32,Sheohar,4393,4355,36,2
33,Sitamarhi,9168,9034,127,7
34,Siwan,15191,15021,170,0
35,Supaul,17201,17072,128,1
36,Vaishali,19805,19599,192,14
37,West Champaran,20884,20522,358,4
